TimeGenerated	EventType	User	SourceIP	DestinationIP	Hostname	Country	Status	ProcessName	CommandLine	Description
9/4/2026 9:02	ProcessStart	maria.garcia	10.10.3.44	10.10.0.10	DEV-PC-03	India	Success	outlook.exe		Normal user activity
9/4/2026 9:02	ProcessStart	maria.garcia	10.10.3.44	10.10.0.10	SALES-PC-01	India	Success	chrome.exe		Normal user activity
9/4/2026 9:05	FileAccess	john.smith	10.10.1.22	10.10.0.10	SALES-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 9:19	FileAccess	john.smith	10.10.2.31	10.10.0.10	DEV-PC-03	India	Success	explorer.exe		Normal user activity
9/4/2026 9:29	FileAccess	maria.garcia	10.10.3.44	10.10.0.10	DEV-PC-03	India	Success	explorer.exe		Normal user activity
9/4/2026 9:30	SuccessfulLogin	john.smith	10.10.1.22	10.10.0.10	FIN-PC-02	India	Success	explorer.exe		Normal user activity
9/4/2026 9:51	FileAccess	raj.patel	10.10.2.31	10.10.0.10	SALES-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 9:59	SuccessfulLogin	john.smith	10.10.1.15	10.10.0.10	DEV-PC-03	India	Success	explorer.exe		Normal user activity
9/4/2026 9:59	SuccessfulLogin	alice.jones	10.10.1.15	10.10.0.10	HR-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 10:05	SuccessfulLogin	maria.garcia	10.10.2.31	10.10.0.10	SALES-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 10:09	FileAccess	john.smith	10.10.1.15	10.10.0.10	DEV-PC-03	India	Success	explorer.exe		Normal user activity
9/4/2026 10:10	FileAccess	alice.jones	10.10.3.44	10.10.0.10	FIN-PC-02	India	Success	explorer.exe		Normal user activity
9/4/2026 10:11	ProcessStart	raj.patel	10.10.3.44	10.10.0.10	DEV-PC-03	India	Success	chrome.exe		Normal user activity
9/4/2026 10:11	ProcessStart	raj.patel	10.10.1.15	10.10.0.10	DEV-PC-03	India	Success	teams.exe		Normal user activity
9/4/2026 10:13	ProcessStart	john.smith	10.10.2.31	10.10.0.10	FIN-PC-02	India	Success	outlook.exe		Normal user activity
9/4/2026 10:15	ProcessStart	alice.jones	10.10.1.22	10.10.0.10	DEV-PC-03	India	Success	chrome.exe		Normal user activity
9/4/2026 10:25	FileAccess	maria.garcia	10.10.3.44	10.10.0.10	FIN-PC-02	India	Success	explorer.exe		Normal user activity
9/4/2026 10:27	FileAccess	alice.jones	10.10.3.44	10.10.0.10	SALES-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 10:28	SuccessfulLogin	raj.patel	10.10.1.22	10.10.0.10	SALES-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 10:30	SuccessfulLogin	raj.patel	10.10.2.31	10.10.0.10	DEV-PC-03	India	Success	explorer.exe		Normal user activity
9/4/2026 10:39	SuccessfulLogin	maria.garcia	10.10.3.44	10.10.0.10	DEV-PC-03	India	Success	explorer.exe		Normal user activity
9/4/2026 10:41	SuccessfulLogin	alice.jones	10.10.2.31	10.10.0.10	FIN-PC-02	India	Success	explorer.exe		Normal user activity
9/4/2026 10:50	FileAccess	maria.garcia	10.10.3.44	10.10.0.10	HR-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 10:51	SuccessfulLogin	maria.garcia	10.10.2.31	10.10.0.10	DEV-PC-03	India	Success	explorer.exe		Normal user activity
9/4/2026 10:54	FileAccess	john.smith	10.10.1.22	10.10.0.10	DEV-PC-03	India	Success	explorer.exe		Normal user activity
9/4/2026 10:54	ProcessStart	john.smith	10.10.1.15	10.10.0.10	FIN-PC-02	India	Success	teams.exe		Normal user activity
9/4/2026 10:56	SuccessfulLogin	maria.garcia	10.10.1.22	10.10.0.10	HR-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 10:58	SuccessfulLogin	raj.patel	10.10.2.31	10.10.0.10	FIN-PC-02	India	Success	explorer.exe		Normal user activity
9/4/2026 11:02	SuccessfulLogin	alice.jones	10.10.1.15	10.10.0.10	HR-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 11:07	ProcessStart	maria.garcia	10.10.3.44	10.10.0.10	DEV-PC-03	India	Success	teams.exe		Normal user activity
9/4/2026 11:09	SuccessfulLogin	maria.garcia	10.10.1.22	10.10.0.10	HR-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 11:10	FileAccess	alice.jones	10.10.3.44	10.10.0.10	SALES-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 11:17	FileAccess	raj.patel	10.10.1.15	10.10.0.10	HR-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 11:21	SuccessfulLogin	maria.garcia	10.10.1.15	10.10.0.10	HR-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 11:22	SuccessfulLogin	john.smith	10.10.3.44	10.10.0.10	HR-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 11:34	FileAccess	alice.jones	10.10.1.22	10.10.0.10	SALES-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 11:36	SuccessfulLogin	maria.garcia	10.10.2.31	10.10.0.10	FIN-PC-02	India	Success	explorer.exe		Normal user activity
9/4/2026 11:36	SuccessfulLogin	alice.jones	10.10.1.15	10.10.0.10	SALES-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 11:39	SuccessfulLogin	alice.jones	10.10.1.15	10.10.0.10	DEV-PC-03	India	Success	explorer.exe		Normal user activity
9/4/2026 11:40	FileAccess	alice.jones	10.10.1.15	10.10.0.10	FIN-PC-02	India	Success	explorer.exe		Normal user activity
9/4/2026 11:41	FileAccess	maria.garcia	10.10.2.31	10.10.0.10	HR-PC-01	India	Success	explorer.exe		Normal user activity
9/4/2026 11:47	FileAccess	maria.garcia	10.10.2.31	10.10.0.10	SALES-PC-01	India	Success	explorer.exe		Normal user activity
